,BoolQ(0-shot),BIG-bench hard(3-shot),WinoGrande(zero-shot),WinoGrande(1-shot),Winogrande(5-shot),PIQA(0-shot),SIQA(0-shot),HellaSwag(zero-shot),HellaSwag(10-shot),ARC-e,ARC-c,ARC-c(25-shot),OBQA(zero-shot),MMLU(5-shot),HumanEval(pass@1),MBPP(3-shot),GSM8K(4-shot),MATH(4-shot),TriviaQA(5-shot),NaturalQuestions(0-shot),NaturalQuestions(1-shot),NaturalQuestions(5-shot),NaturalQuestions(64-shot),LAMBADA(0-shot),AGIEval English (3-5 shot),RACE-m,RACE-h,LogiQA,WSC
Gopher - 44M,,,,,,,,,,,,,,,,,,,1.7,0,0.1,0.9,0.8,,,,,,
Gopher - 117M,,,,,,,,,,,,,,,,,,,3.4,0.1,0.9,1.7,1.8,,,,,,
Gopher - 417M,,,,,,,,,,,,,,25.7,,,,,7.7,0.4,1.9,2.8,3.4,,,,,,
Gropher - 1.4B,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,
Gopher - 7.1B,,,,,,,,,,,,,,29.5,,,,,33.9,6.1,10.8,13.4,16.5,,,,,,
MT-NLG 530B,78.2,,73.01,73.72,,81.99,,80.2,,,,,,,,,,,,,,,,76.6,,,47.9,,
GLaM,83.1,,73.5,73.1,,80.4,,76.6,,71.6,48,,53.4,,,,,,,24.7,26.3,,,64.2,,66.9,49.3,,85.3
Phi-1.5-1.3B,75.8,28.2,73.4,,72.22,76.6,52.6,47.6,63.79,75.6,44.4,52.9,37.2,43.89,34.1,37.7,12.43,,,,,,,,,,,,
Phi-2-2.7B,83.3,59.2,75.2,,,78.3,55.1,54.5,,79.5,52.1,,40.3,56.2,47.6,58.7,,,,,,,,,,,,,
Yi-6b,,42.8,,,71.3,,,,74.4,,,50.3,,63.2,15.9,26.3,12.13,4.6,,,,,,,,,,,
Yi-9b,,54.3,,,73,,,,76.4,,,55.6,,76.3,39,54.4,48.98,15.9,,,,,,,,,,,
Baichuan 1-7B,,32.48,,,,,,,,,,,,42.3,9.2,6.6,9.17,2.54,,,,,,,34.44,,,,
Baichuan 1-13B-Base,,43.01,,,,,,,,,,,,51.6,11.59,22.8,26.76,4.84,,,,,,,43.2,,,,
Baichuan 2-7B-Base,,41.56,,,,,,,,,,,,54.16,18.29,24.2,24.49,5.58,,,,,,,42.73,,,35.5,
Baichuan 2-13B-Base,,48.78,,,,,,,,,,,,59.17,17.07,30.2,52.77,10.08,,,,,,,48.17,,,,
InternLM2-7B,,55.5,74.6,,,,,76.3,,,,,,65.8,43.3,51.8,70.8,,57,,,28.4,,,,,,,
InternLM2-20B,,72.1,85.2,,,,,81.6,,,,,,67.7,48.8,63,76.1,,63.7,,,30.3,,,,,,,
Skywork-13B,82.9,,72.2,,,79.9,,77.4,,78.5,50.2,,,62.1,,52.4,55.8,,54,,,,,,,,,,
BlueLM-7B,,41.7,,,,,,,,,,,,55.2,18.3,,27.2,6.2,,,,,,,,,,37.5,
Qwen-7B,,45,,,72.69,,,,78.47,,,51.37,,58.2,,31.6,44.96,,,,,,,,,,,,
Qwen-14B,,53.4,,,73.48,,,,81.08,,,56.57,,66.3,,40.8,67.63,43.1,,,,,,,,,,,
TigerBot-13b,78.87,,64.17,,,79.33,48.52,,,,,,72.4,55.94,18.29,,35.86,,,,,,,,,,,,
TigerBot-70b,80.67,,69.38,,,83.3,48.77,,,,,,88.6,68.03,28.66,,65.66,,,,,,,,,,,,
Gemma-2b,69.4,35.2,65.4,,,77.3,49.7,71.4,,73.2,42.1,,47.8,42.3,22,29.2,17.7,,53.2,,,12.5,,,24.2,,,,
Gemma-7b,83.2,55.1,72.3,,78.45,81.2,51.8,81.2,82.47,81.5,53.2,61.09,52.8,66.03,32.3,44.4,52.77,,63.4,,,23,,,41.7,,,,
